origin_index,origin_timestamp,split,history_start_index,history_end_index,history_steps,history_hours,maximum_interpolated_fraction,target_index_h60,target_timestamp_h60,target_index_h120,target_timestamp_h120,target_index_h240,target_timestamp_h240,target_index_h480,target_timestamp_h480
1080,2026-03-25 00:00:00,train,721,1080,360,24,0.15,1095,2026-03-25 01:00:00,1110,2026-03-25 02:00:00,1140,2026-03-25 04:00:00,1200,2026-03-25 08:00:00
1085,2026-03-25 00:20:00,train,726,1085,360,24,0.15,1100,2026-03-25 01:20:00,1115,2026-03-25 02:20:00,1145,2026-03-25 04:20:00,1205,2026-03-25 08:20:00
1089,2026-03-25 00:36:00,train,730,1089,360,24,0.15,1104,2026-03-25 01:36:00,1119,2026-03-25 02:36:00,1149,2026-03-25 04:36:00,1209,2026-03-25 08:36:00
1090,2026-03-25 00:40:00,train,731,1090,360,24,0.15,1105,2026-03-25 01:40:00,1120,2026-03-25 02:40:00,1150,2026-03-25 04:40:00,1210,2026-03-25 08:40:00
1091,2026-03-25 00:44:00,train,732,1091,360,24,0.15,1106,2026-03-25 01:44:00,1121,2026-03-25 02:44:00,1151,2026-03-25 04:44:00,1211,2026-03-25 08:44:00
1094,2026-03-25 00:56:00,train,735,1094,360,24,0.15,1109,2026-03-25 01:56:00,1124,2026-03-25 02:56:00,1154,2026-03-25 04:56:00,1214,2026-03-25 08:56:00
1095,2026-03-25 01:00:00,train,736,1095,360,24,0.15,1110,2026-03-25 02:00:00,1125,2026-03-25 03:00:00,1155,2026-03-25 05:00:00,1215,2026-03-25 09:00:00
1096,2026-03-25 01:04:00,train,737,1096,360,24,0.15,1111,2026-03-25 02:04:00,1126,2026-03-25 03:04:00,1156,2026-03-25 05:04:00,1216,2026-03-25 09:04:00
1097,2026-03-25 01:08:00,train,738,1097,360,24,0.15,1112,2026-03-25 02:08:00,1127,2026-03-25 03:08:00,1157,2026-03-25 05:08:00,1217,2026-03-25 09:08:00
1100,2026-03-25 01:20:00,train,741,1100,360,24,0.15,1115,2026-03-25 02:20:00,1130,2026-03-25 03:20:00,1160,2026-03-25 05:20:00,1220,2026-03-25 09:20:00
1102,2026-03-25 01:28:00,train,743,1102,360,24,0.15,1117,2026-03-25 02:28:00,1132,2026-03-25 03:28:00,1162,2026-03-25 05:28:00,1222,2026-03-25 09:28:00
1104,2026-03-25 01:36:00,train,745,1104,360,24,0.15,1119,2026-03-25 02:36:00,1134,2026-03-25 03:36:00,1164,2026-03-25 05:36:00,1224,2026-03-25 09:36:00
1105,2026-03-25 01:40:00,train,746,1105,360,24,0.15,1120,2026-03-25 02:40:00,1135,2026-03-25 03:40:00,1165,2026-03-25 05:40:00,1225,2026-03-25 09:40:00
1106,2026-03-25 01:44:00,train,747,1106,360,24,0.15,1121,2026-03-25 02:44:00,1136,2026-03-25 03:44:00,1166,2026-03-25 05:44:00,1226,2026-03-25 09:44:00
1109,2026-03-25 01:56:00,train,750,1109,360,24,0.15,1124,2026-03-25 02:56:00,1139,2026-03-25 03:56:00,1169,2026-03-25 05:56:00,1229,2026-03-25 09:56:00
1110,2026-03-25 02:00:00,train,751,1110,360,24,0.15,1125,2026-03-25 03:00:00,1140,2026-03-25 04:00:00,1170,2026-03-25 06:00:00,1230,2026-03-25 10:00:00
1111,2026-03-25 02:04:00,train,752,1111,360,24,0.15,1126,2026-03-25 03:04:00,1141,2026-03-25 04:04:00,1171,2026-03-25 06:04:00,1231,2026-03-25 10:04:00
