origin_index,history_start_index,origin_timestamp,history_start_timestamp,split,resolution,resolution_minutes,feature_set,history_hours,history_steps,n_features,history_interpolated_fraction,target_index_h60,target_timestamp_h60,target_index_h120,target_timestamp_h120,target_index_h240,target_timestamp_h240,target_index_h480,target_timestamp_h480
8182,8123,2026-05-29 04:24:00,2026-05-28 16:36:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8187,2026-05-29 05:24:00,8192,2026-05-29 06:24:00,8202,2026-05-29 08:24:00,8222,2026-05-29 12:24:00
8183,8124,2026-05-29 04:36:00,2026-05-28 16:48:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8188,2026-05-29 05:36:00,8193,2026-05-29 06:36:00,8203,2026-05-29 08:36:00,8223,2026-05-29 12:36:00
8184,8125,2026-05-29 04:48:00,2026-05-28 17:00:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8189,2026-05-29 05:48:00,8194,2026-05-29 06:48:00,8204,2026-05-29 08:48:00,8224,2026-05-29 12:48:00
8185,8126,2026-05-29 05:00:00,2026-05-28 17:12:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8190,2026-05-29 06:00:00,8195,2026-05-29 07:00:00,8205,2026-05-29 09:00:00,8225,2026-05-29 13:00:00
8186,8127,2026-05-29 05:12:00,2026-05-28 17:24:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.04444444444444444,8191,2026-05-29 06:12:00,8196,2026-05-29 07:12:00,8206,2026-05-29 09:12:00,8226,2026-05-29 13:12:00
8189,8130,2026-05-29 05:48:00,2026-05-28 18:00:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8194,2026-05-29 06:48:00,8199,2026-05-29 07:48:00,8209,2026-05-29 09:48:00,8229,2026-05-29 13:48:00
8191,8132,2026-05-29 06:12:00,2026-05-28 18:24:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8196,2026-05-29 07:12:00,8201,2026-05-29 08:12:00,8211,2026-05-29 10:12:00,8231,2026-05-29 14:12:00
8193,8134,2026-05-29 06:36:00,2026-05-28 18:48:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8198,2026-05-29 07:36:00,8203,2026-05-29 08:36:00,8213,2026-05-29 10:36:00,8233,2026-05-29 14:36:00
8195,8136,2026-05-29 07:00:00,2026-05-28 19:12:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8200,2026-05-29 08:00:00,8205,2026-05-29 09:00:00,8215,2026-05-29 11:00:00,8235,2026-05-29 15:00:00
8196,8137,2026-05-29 07:12:00,2026-05-28 19:24:00,train,12min,12,SHT_AUX_TIME,12,60,8,0.03888888888888888,8201,2026-05-29 08:12:00,8206,2026-05-29 09:12:00,8216,2026-05-29 11:12:00,8236,2026-05-29 15:12:00
